rec_idx,team_id,n_players,player_ids,player_names
30,32,23,57133|102045|100624|119889|113960|102395|35189|47002|100904|114191|114238|102339|136824|63266|114013|9169|42624|45179|40632|36967|38563|41889|57267,亚辛·布努|尤尼斯·阿卜杜勒-哈米德|祖埃尔·费达尔|纳赛尔·马兹拉维|阿什拉夫·哈基米|罗曼·赛斯|阿德尔·塔拉卜特|哈基姆·齐耶赫|索菲亚尼·布法尔|阿米纳·阿里|优素福·恩尼西里|穆尼尔|希沙姆·厄勒·马贾德|纳比尔·迪拉尔|哈扎·门迪尔|卡里姆·艾哈迈迪|奥马尔·卡杜里|费萨尔·法热|尤尼斯·贝尔汉达|诺丁·阿姆拉巴特|卡塞拉-冈萨雷斯|优素福·阿拉比|拉希德·阿利维
31,33,0,,
32,34,23,107227|130382|47005|37707|107243|123186|101849|57123|107612|116276|47220|45893|123185|103170|130383|6864|112384|114464|104886|122658|115092|102533|136830,穆罕默德·希纳维|马哈茂德·阿拉|艾哈迈德·赫加齐|艾哈迈德·穆哈马迪|艾曼·阿什拉夫|塔里克·哈米德|穆罕默德·埃尔内尼|穆罕默德·萨拉赫|特雷泽盖|阿姆鲁·瓦尔达|艾哈迈德·哈桑|艾哈迈德·史纳威|穆罕默德·阿瓦德|拉米·拉比亚|巴赫尔·莫哈马迪|艾哈迈德·法特希|穆罕默德·哈尼|卡里姆·哈菲兹|阿姆鲁·苏拉亚|侯赛因·沙哈特|齐佐|卡赫拉巴|艾哈迈德·戈马
33,35,0,,
34,36,23,104804|107983|116349|116347|104876|118211|108402|116350|112417|42245|102695|3200|102424|38235|130334|44637|33817|41136|38806|102638|63739|42246|47427,安德烈·奥纳纳|热罗姆·翁盖内|恩加杜-恩加久伊|科林斯·法伊|安布罗伊斯·奥永戈|皮埃尔·昆德|安德烈·赞博·安吉萨|克里斯蒂安·巴索戈|穆米·恩加马勒|舒波-莫廷|卡尔·托科·埃坎比|伊德里斯·卡梅尼|法布里斯·翁多阿|让-阿梅尔·卡纳-比伊克|若伊斯金·达瓦|阿兰·尼奥姆|加埃唐·邦|乔治·曼德杰克|阿瑙德·苏楚因|威尔弗里德·卡普图姆|保罗-乔治·恩泰普|文森特·阿布巴卡尔|克林顿·恩杰
35,37,0,,
36,38,0,,
37,39,0,,
38,40,0,,
39,41,0,,
40,42,23,39777|46577|61688|47655|130478|112434|107231|39773|119569|44407|107732|42369|130476|43625|126583|43626|136875|37907|107946|130483|63911|120548|135913,凯洛尔·纳瓦斯|詹卡尔洛·冈萨雷斯|肯德尔·沃斯顿|弗朗西斯科·卡尔沃|凯舍尔·富勒|罗纳德·马塔里塔|戴维·古斯曼|塞尔索·博尔赫斯|兰德尔·利尔|乔尔·坎贝尔|何塞·奥蒂斯|埃斯特万·阿尔瓦拉多|阿龙·克鲁斯|奥斯卡·杜阿尔特|胡安·巴尔加斯|克里斯蒂安·甘博亚|路易斯·迪亚斯|布莱恩·鲁伊斯|埃利亚斯·阿吉拉尔|阿里埃尔·拉西特|马科斯·乌雷尼亚|迈龙·乔治|弗朗西斯科·罗德里格斯
41,43,23,61691|130241|33431|116339|112310|136838|107762|112313|126173|136840|107614|130239|136839|107795|136837|37909|130244|130248|61694|117600|46787|114610|136841,路易斯·洛佩斯|德尼尔·马尔多纳多|梅诺·菲格罗亚|费利克斯·克里桑托|埃韦尔·阿尔瓦拉多|卡洛斯·皮内达|布赖恩·阿科斯塔|阿尔韦托·埃利斯|乔纳森·托罗|韦拉斯克斯|罗曼·卡斯蒂略|哈罗德·丰塞卡|何塞·苏尼加|亨利·菲格罗亚|何塞·托比亚斯|埃米利奥·伊萨吉雷|埃克托尔·卡斯特利亚诺斯|凯文·洛佩斯|亚历山大·洛佩斯|里戈韦托·里瓦斯|罗梅尔·基奥托|达里克松·韦尔托|埃德温·索拉诺
42,44,23,36703|61468|104612|44857|109607|47784|109629|40631|119907|44636|60060|47988|108893|60551|119922|45677|104540|109947|120033|45685|41581|31044|111355,大卫·奥斯皮纳|耶里·米纳|戴维森·桑切斯|圣地亚哥·阿里亚斯|威廉·特西略|维尔马·巴里奥斯|马特乌斯·乌里韦|胡安·夸德拉多|路易斯·迪亚斯|路易斯·穆列尔|杜班·萨帕塔|卡米洛·巴尔加斯|阿尔瓦罗·蒙特罗|杰森·穆里略|约翰·卢库米|斯特凡·梅迪纳|弗兰克·法布拉|赫费尔松·莱尔马|亚伊罗·莫雷诺|胡安·金特罗|哈梅斯·罗德里格斯|拉达梅尔·法尔考|阿尔弗雷多·莫雷洛斯
