pesdb_index,english_name,code3
570,Shabab Al Ahli Dubai,AHD
571,Brentford FC,BRE
572,Coventry City,COV
573,Preston North End,PRE
574,Rotherham United,ROT
575,Sheffield United,SHU
576,Amiens SC,ASC
577,Paris FC,PFC
578,RC Strasbourg Alsace,RCS
579,Como 1907,COM
580,US Cremonese,CRE
581,FC Südtirol,SAA
582,Venezia FC,VNZ
583,Benevento Calcio,BEN
584,Frosinone Calcio,FRO
585,US Lecce,LEC
586,AC Perugia Calcio,PER
587,Pisa Sporting Club,PIS
588,US Salernitana,SAL
589,Burgos CF,BRG
590,Real Oviedo,OVI
591,CD Leganés,LEG
592,Villarreal B,VRB
593,Albacete Balompié,ALB
594,Cádiz CF,CAD
595,FC Cartagena,CAR
596,Boavista FC,BOA
597,FK Qarabağ,QAR
598,Slovan Bratislava,SLO
599,FC Sheriff Tiraspol,FCS
600,Ludogorets Razgrad,LUD
601,Luton Town,LUT
602,Grenoble Foot 38,GRB
603,Rodez AF,ROD
604,AC Monza,MON
605,SPAL,SPA
606,Cosenza Calcio,COS
607,BG Pathum United,BGP
608,Guangzhou City,GRF
609,Kitchee,KCE
610,Johor Darul Ta'zim,JDT
611,Persepolis FC,PER
612,Al Wahda FC,WAH
613,Al Wehdat SC,WSC
614,The Old Boys,TOB
615,Central Córdoba SDE,COR
616,RB Leipzig,RBL
617,FC Famalicão,FAM
618,Club Atlético Talleres,TAL
619,Londrina EC,LON
620,New York City,NYC
621,Orlando City,ORL
622,Pau FC,PAU
623,Quevilly Rouen Métropole,QRM
624,FC Vizela,FCV
625,World Selection,WOS
626,EC Juventude,JUV
627,CSA,CSA
628,Cuiabá EC,CUI
629,Fortaleza EC,FOR
630,Tombense FC,TOM
631,Hebei FC,HFC
632,Henan Songshan Longmen,HSL
633,Shanghai Shenhua,SHE
634,Tianjin Jinmen Tiger,TJT
635,Zhejiang FC,ZGT
636,Meizhou Hakka,MHK
637,Shenzhen FC,SFC
638,Cangzhou Mighty Lions,CML
639,Slavia Praha,SLA
640,KAS Eupen,EUP
641,Royal Antwerp FC,ANT
642,KV Oostende,KVO
643,Sint-Truiden VV,STV
644,Akhmat Grozny,AKH
645,Ural Yekaterinburg,FCU
646,Alanyaspor,ALA
647,Konyaspor,KON
648,Alianza Petrolera,ALI
649,Atlético Bucaramanga,BUC
650,Cortuluá,CRT
651,Jaguares de Córdoba,JAG
652,OH Leuven,OHL
653,Union Saint Gilloise,USG
654,KVC Westerlo,WES
655,Lyngby BK,LYN
656,Silkeborg IF,SLK
657,Viborg FF,VFF
658,FC Sochi,SOC
659,Fakel Voronezh,FAK
660,FK Khimki,KHI
661,FK Nizhny Novgorod,PNN
662,FK Orenburg,ORE
663,Livingston FC,LIV
664,Adana Demirspor,ADN
665,Caykur Rizespor,RIZ
666,Gaziantep FK,GZT
667,Giresunspor,GIR
668,Istanbulspor AŞ,IST
669,MKE Ankaragücü,ANK
670,Ümraniyespor,UMR
671,Deportivo Pereira,DPR
672,Unión Magdalena,MAG
673,Air Force Club,AFC
674,Leo Chiangrai United,LCU
675,Port FC,POR
676,Ratchaburi FC,RFC
677,Operário PR,OPE
678,Gibraltar,GIB
679,Kosovo,KOS
680,Hatayspor,HAT
681,CA Platense,CAP
682,UD Ibiza,UDI
683,United City,UNC
684,Daegu FC,DGU
685,FC Istiqlol Dushanbe,IST
686,AGMK Olmaliq,AMK
687,Casa Pia AC,CP
688,FC Andorra,AND
689,Fatih Karagümrük,KAR
690,CA Barracas Central,BAR
691,Brusque FC,BRQ
692,Ituano FC,ITU
693,Sharjah FC,SHJ
694,RFC Seraing,RFC
695,FC Annecy,ANN
696,Atlanta United FC,ATL
697,FC Cincinnati,FCC
698,Inter Miami CF,MIA
699,Nashville SC,NSC
700,Los Angeles FC,LA
701,Minnesota United,MNU
702,Grêmio Novorizontino,GEN
703,FC Goa,GOA
704,Viettel FC,VTT
705,Kaya FC-Iloilo,KAY
706,Mumbai City FC,MFC
707,Bali United FC,BAL
708,PERSIB Bandung,BAN
709,Persija Jakarta,JAK
710,Borneo FC Samarinda,BFC
711,Arema FC,ARE
712,PSIS Semarang,SEM
713,PS Barito Putera,BRT
714,Persik Kediri,PKE
715,Madura United FC,MU
716,Persebaya Surabaya,PER
717,Bhayangkara FC,BHA
718,PSM Makassar,PSM
719,PSS Sleman,PSS
720,Persikabo 1973,PER
721,Persita Tangerang,PTG
722,PERSIS Solo,PSO
723,RANS Nusantara FC,NFC
724,Dewa United FC,DEW
725,FK TSC Backa Topola,TSC
726,FK Spartak Subotica,SZV
727,FK Napredak Kruševac,NAP
728,FK Radnik Surdulica,FRS
729,FK Mladost GAT Novi Sad,MLA
730,FK Radnicki 1923,RDK
731,FK Voždovac,VOZ
732,FK Kolubara Lazarevac,FKK
733,FK Mladost Lučani,MLU
734,FK Javor-Matis Ivanjica,JAV
735,FK Novi Pazar,NP
736,El Ahly Cairo,AHL
737,Wydad Casablanca,WYD
738,ES Sétif,ESS
739,CA Petróleos Luanda,CAP
