reg_index,db_id
11168,37481
11169,35509
11171,128962
11173,131290
11175,44659
11177,102682
11182,115061
11185,40936
11188,122060
11194,143455
11195,40911
11206,117463
11244,111185
11299,116397
11311,61130
11452,139766
11453,61426
11454,30199
11455,117834
11456,105053
11457,123623
11459,116363
11460,36256
11462,38346
11463,40838
11464,139768
11465,46917
11466,126148
11468,139771
11469,135977
11470,101120
11471,61035
11473,117489
11476,139767
11477,139770
11478,47784
11480,115179
11481,139773
11484,143371
11486,139774
11487,61702
11488,46604
11489,110790
11491,60510
11493,36847
11495,119693
11498,123117
11499,113788
11501,123830
11502,126064
11504,42422
11506,101876
11507,36848
11508,38400
11509,117791
11512,126194
11513,143417
11514,140767
11515,126198
11518,125976
11588,122925
11624,46539
11649,119523
11651,103701
11652,128218
11653,57128
11655,119670
11656,125819
11658,38184
11659,127307
11660,113900
11662,119517
11664,133356
11665,61722
11666,109212
11667,123988
11672,132574
11680,127186
11744,119673
11745,119661
11746,119611
11748,102531
11751,119655
11753,117803
11757,107096
11759,126202
11761,119594
11762,35076
11771,140487
11888,32339
11919,45953
11938,43540
11951,141063
11954,44687
12013,121193
12019,59973
12033,123592
12039,58617
12060,121006
12065,36727
12066,34882
12067,108051
12068,61693
12069,109854
12070,124824
12071,120983
12074,126335
12078,46860
12081,121079
12083,121060
12085,140230
12086,31044
12090,130449
12193,102339
12195,117873
12196,105014
12198,104687
12199,118568
12200,46731
12202,118084
12210,118288
12212,120982
12213,131556
12214,141519
12215,142358
12221,141879
12224,37225
12229,107100
12230,116431
12232,42552
12233,133358
12234,61073
12242,57340
12243,58645
12244,101527
12251,111092
12252,38590
12254,46179
12262,103403
12267,121366
12339,112096
12379,112118
12387,122782
12432,121088
12433,101018
12434,107255
12437,59657
12440,126834
12441,121086
12442,117884
12445,121090
12448,139968
12449,108472
12450,132027
12451,112085
12460,127832
12463,44943
13188,114080
13218,58641
13285,123624
13528,141607
13633,102855
13635,121526
13637,121527
13638,59796
13639,103659
13640,109328
13641,124727
13643,125793
13644,103134
13647,121533
13648,121469
13649,123919
13651,47417
13652,121563
13653,121524
13654,121455
13656,108102
13743,4949
13745,111149
13747,124330
13749,113792
13750,106409
13752,108924
13753,111355
13755,128457
13756,101845
13759,126768
13761,121434
13764,111428
13768,135102
13803,33755
13804,123989
13805,131493
13809,121546
13810,121542
13813,103276
13816,121551
13817,121543
13820,123990
13824,123992
13828,132428
13829,132556
13900,125037
13968,120424
13970,42540
13971,44264
13973,120387
13974,119820
13975,116669
13976,122035
13977,47550
13978,45947
13981,120414
13982,41106
13985,47163
13988,126767
13990,141791
13991,144649
13992,135958
14028,104289
14029,107212
14030,104784
14031,113240
14032,120808
14035,120452
14036,124356
14037,114111
14040,46652
14043,113449
14044,124957
14046,123547
14054,123556
14056,143351
14059,133702
14060,128108
14174,140327
14178,35321
14180,112340
14183,131458
14185,118533
14187,142781
14189,125750
14194,123536
14195,126155
14198,37082
14199,139894
14201,140328
15283,57031
15295,130235
15297,130137
15322,113596
15326,132192
15327,141911
15329,129123
15335,114465
15336,100354
15338,107143
15339,42460
15343,100412
15344,60565
15347,141551
15348,134834
15352,132516
15353,126120
15357,128376
15358,141553
15379,107412
15606,60709
15607,109345
15608,37403
15611,59813
15612,116236
15613,129221
15614,127662
15615,41889
15618,36358
15619,38645
15623,34805
15624,46599
15626,118689
15631,118102
15634,141166
15639,107271
15678,37021
15697,118304
15698,44912
15700,133068
15701,139802
15710,111166
15712,140023
15713,109934
15714,15320
15715,119809
15716,138560
15718,116276
