src,kind,idx,date,v1_status,v2_raw,v3_money_x100,v4,v5,v6,v7_flag,v8,f2_hi(player_id),f2_lo,name
ML13,in-season,47,2021-08-27,0,4294967295,1924,100051,27951459,4358200,0,10400,65535,65535,阿部勇树
ML13,in-season,48,2021-08-27,0,4278714367,4221,106631,27951459,20447357,0,13200,65287,65535,桑托斯
ML13,in-season,49,2021-08-27,0,4282580991,8706,131609,5357600,4243725,0,41228,65346,65535,加梅利尔·赫奇斯
ML13,in-season,50,2021-08-28,0,4292935679,5720,107906,5357600,38486189,0,408793,65504,65535,
ML13,in-season,51,2021-08-28,0,4278714367,1830,9567,2048034,3178550,0,13000,65287,65535,桑托斯
ML13,in-season,52,2021-08-28,0,4294967295,1801,46649,38486189,4341813,0,35532,65535,65535,阿部勇树
ML13,in-season,53,2021-08-28,0,4294967295,522,33700,6258693,2899974,0,40894,65535,65535,阿部勇树
ML13,in-season,54,2021-08-28,0,4294967295,8704,63399,3407891,4243725,0,31655,65535,65535,阿部勇树
ML13,in-season,55,2021-08-29,0,4278255615,1734,118968,4243725,1785906,0,0,65280,65535,巴勃罗·拉万代拉
ML13,in-season,56,2021-08-30,1,4293984255,4542,47835,81838222,44548235,0,1338,65520,65535,
ML13,in-season,57,2021-08-30,0,4278845439,1511,106987,5947657,5914668,0,5051,65289,65535,
